zip,zip_type,primary_city,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,City,CriteriaID,State,StateAbrv,DMARegion,DMARegionCode
01266,STANDARD,WestStockbridge,BerkshireCounty,America/New_York,413,42.31,-73.39,NA,US,0,1182,WestStockbridge,1018470,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01267,STANDARD,Williamstown,BerkshireCounty,America/New_York,413,42.7,-73.2,NA,US,0,5277,Williamstown,1018489,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01267,STANDARD,Williamstown,BerkshireCounty,America/New_York,413,42.7,-73.2,NA,US,0,5277,Williamstown,9053166,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01270,STANDARD,Windsor,BerkshireCounty,America/New_York,413,42.51,-73.04,NA,US,0,694,Windsor,1018493,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01301,STANDARD,Greenfield,FranklinCounty,America/New_York,413,42.58,-72.59,NA,US,0,13381,Greenfield,1018223,Massachusetts,MA,"Springfield-Holyoke, MA",543
01302,POBOX,Greenfield,FranklinCounty,America/New_York,413,42.58,-72.59,NA,US,0,406,Greenfield,1018223,Massachusetts,MA,"Springfield-Holyoke, MA",543
01330,STANDARD,Ashfield,FranklinCounty,America/New_York,413,42.53,-72.78,NA,US,0,1345,Ashfield,1018100,Massachusetts,MA,"Springfield-Holyoke, MA",543
01331,STANDARD,Athol,WorcesterCounty,America/New_York,978,42.59,-72.23,NA,US,0,10562,Athol,1018103,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01337,STANDARD,Bernardston,FranklinCounty,America/New_York,413,42.66,-72.55,NA,US,0,2438,Bernardston,1018121,Massachusetts,MA,"Springfield-Holyoke, MA",543
01338,STANDARD,Buckland,FranklinCounty,America/New_York,413,42.6,-72.78,NA,US,0,0,Buckland,1018141,Massachusetts,MA,"Springfield-Holyoke, MA",543
01339,STANDARD,Charlemont,FranklinCounty,America/New_York,413,42.63,-72.88,NA,US,0,1250,Charlemont,1018151,Massachusetts,MA,"Springfield-Holyoke, MA",543
01340,STANDARD,Colrain,FranklinCounty,America/New_York,413,42.66,-72.68,NA,US,0,1581,Colrain,1018167,Massachusetts,MA,"Springfield-Holyoke, MA",543
01341,STANDARD,Conway,FranklinCounty,America/New_York,413,42.51,-72.68,NA,US,0,1541,Conway,1018169,Massachusetts,MA,"Springfield-Holyoke, MA",543
01342,STANDARD,Deerfield,FranklinCounty,America/New_York,413,42.55,-72.6,NA,US,0,1238,Deerfield,1018177,Massachusetts,MA,"Springfield-Holyoke, MA",543
